Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR Disparity,FPR Disparity,Accuracy Disparity (%)
prompt_optimization,71.69811320754717,28.30188679245283,66.66666666666666,0.32332761578044594,0.20567375886524822,13.0
few_shot,66.0377358490566,33.9622641509434,63.33333333333333,0.5728987993138936,0.3761593016912166,7.0
post_processing,33.9622641509434,66.0377358490566,59.333333333333336,0.5574614065180103,0.46590289143480634,11.999999999999993
ensemble,35.84905660377358,64.15094339622641,62.0,0.474271012006861,0.38052373158756136,13.999999999999993
