Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR Disparity,FPR Disparity,Accuracy Disparity (%)
prompt_optimization,71.11111111111111,28.888888888888886,89.5,1.0,0.20808080808080806,25.0
few_shot,68.88888888888889,31.11111111111111,85.5,0.8571428571428571,0.17949260042283297,33.0
post_processing,35.55555555555556,64.44444444444444,85.0,0.75,0.14258867747239842,40.00000000000001
ensemble,35.55555555555556,64.44444444444444,84.75,0.75,0.14195736434108527,40.99999999999999
