Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR Disparity,FPR Disparity,Accuracy Disparity (%)
prompt_optimization,41.509433962264154,58.490566037735846,58.66666666666666,0.25544267053701014,0.27199539965497416,3.000000000000007
few_shot,26.41509433962264,73.58490566037736,54.0,0.5021770682148041,0.48505251817936984,14.0
post_processing,20.754716981132077,79.24528301886792,52.66666666666667,0.5587808417997098,0.5103689738755722,15.0
ensemble,20.754716981132077,79.24528301886792,50.66666666666667,0.4672057502246182,0.5397252895232966,16.0
