Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR Disparity,FPR Disparity,Accuracy Disparity (%)
prompt_optimization,53.333333333333336,46.666666666666664,60.66666666666666,0.288034188034188,0.29631449631449636,3.0
few_shot,37.77777777777778,62.22222222222222,56.00000000000001,0.5195402298850574,0.3914004914004914,2.999999999999986
post_processing,53.333333333333336,46.666666666666664,62.66666666666666,0.2973180076628352,0.2240786240786241,4.0
ensemble,53.333333333333336,46.666666666666664,62.66666666666666,0.2973180076628352,0.2240786240786241,4.0
