num_examples,acc,asr,method,model,mask_rate,task
19,47.368421052631575,52.63157894736843,StressTest,pred-gemini-1.5-flash,0.05,sst2
19,26.31578947368421,73.6842105263158,StressTest,pred-gemini-1.5-flash-8b,0.05,sst2
