num_examples,acc,asr,method,model,mask_rate,task
17,58.82352941176471,41.17647058823529,T3,pred-gemini-1.5-flash,0.05,sst2
17,41.17647058823529,58.82352941176471,T3,pred-gemini-1.5-flash-8b,0.05,sst2
