num_examples,acc,asr,method,model,mask_rate,task
4,50.0,50.0,SCPN,pred-gemini-1.5-flash,0.05,sst2
4,75.0,25.0,SCPN,pred-gemini-1.5-flash-8b,0.05,sst2
