num_examples,acc,asr,method,model,mask_rate,task
28,64.28571428571429,35.71428571428571,SememePSO,pred-gemini-1.5-flash,0.05,sst2
28,50.0,50.0,SememePSO,pred-gemini-1.5-flash-8b,0.05,sst2
