Group,ensemble,few_shot,post_processing,prompt_optimization
bisexual,1.62,1.28,1.72,1.05
gay,0.97,1.12,0.98,0.84
lesbian,1.11,0.56,1.03,0.57
pansexual,2.61,2.27,2.63,1.4
straight,1.87,2.21,1.89,1.4
unknown,0.34,0.53,0.32,1.03
