Group,ensemble,few_shot,post_processing,prompt_optimization
bisexual,0.667,0.667,0.667,0.417
gay,0.55,0.5,0.55,0.35
lesbian,0.545,0.4,0.545,0.3
pansexual,1.0,0.889,1.0,0.5
straight,0.667,0.667,0.667,0.5
unknown,0.225,0.439,0.2,0.615
