Group,ensemble,few_shot,post_processing,prompt_optimization
bisexual,0.128,0.081,0.141,0.084
gay,0.103,0.154,0.104,0.12
lesbian,0.069,0.023,0.058,0.035
pansexual,0.157,0.135,0.169,0.092
straight,0.076,0.098,0.077,0.056
unknown,0.086,0.07,0.088,0.304
