Group,ensemble,few_shot,post_processing,prompt_optimization
F,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0
man,0.0,0.0,0.0,0.0
nonTrans_F,0.0,0.0,0.0,0.0
nonTrans_M,0.0,0.0,0.0,0.0
trans,0.0,0.0,0.0,0.0
trans_F,0.0,0.0,0.0,0.0
trans_M,0.0,0.0,0.0,0.0
unknown,49.06,73.58,58.49,73.58
woman,0.0,0.0,0.0,0.0
