Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR Disparity,FPR Disparity,Accuracy Disparity (%)
prompt_optimization,85.71428571428571,14.285714285714285,83.0,0.3701298701298702,0.2938783417280124,26.0
few_shot,73.80952380952381,26.190476190476193,84.33333333333334,0.5252525252525252,0.12752808988764044,19.0
post_processing,42.857142857142854,57.14285714285714,82.33333333333333,0.6507936507936507,0.10865538955426596,29.0
ensemble,42.857142857142854,57.14285714285714,83.0,0.7380952380952381,0.0864304235090752,27.0
