Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR Disparity,FPR Disparity,Accuracy Disparity (%)
prompt_optimization,65.3061224489796,34.69387755102041,89.81818181818183,1.0,0.12715389185977422,34.0
few_shot,71.42857142857143,28.57142857142857,89.0909090909091,1.0,0.07869907869907869,33.0
post_processing,48.97959183673469,51.02040816326531,88.9090909090909,0.7,0.0797979797979798,35.0
ensemble,44.89795918367347,55.10204081632652,88.54545454545455,0.7,0.09681925639372448,37.0
