Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR Disparity,FPR Disparity,Accuracy Disparity (%)
prompt_optimization,73.58490566037736,26.41509433962264,48.0,1.0,1.0,100.0
few_shot,73.58490566037736,26.41509433962264,44.0,0.06666666666666667,1.0,100.0
post_processing,58.490566037735846,41.509433962264154,45.0,0.1,0.75,100.0
ensemble,49.056603773584904,50.943396226415096,47.0,0.16666666666666666,1.0,100.0
